datetime,serial msg
02-24-2024 10:47:37,Sending: AT+ADDRESS=1
02-24-2024 10:47:37,Received: +OK
02-24-2024 10:47:37,Sending: AT+BAND=433000000
02-24-2024 10:47:38,Received: +OK\r\x0b
02-24-2024 10:47:38,Sending: AT+NETWORKID=5
02-24-2024 10:47:38,Received: +OK
02-24-2024 10:47:44,GPS
02-24-2024 10:47:44,GPS
02-24-2024 10:47:44,"AT+SEND=0,3,GPS"
02-24-2024 10:47:44,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:45,Received: +OK
02-24-2024 10:47:45,GPS
02-24-2024 10:47:45,GPS
02-24-2024 10:47:45,"AT+SEND=0,3,GPS"
02-24-2024 10:47:45,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:45,Received: +OK
02-24-2024 10:47:45,GPS
02-24-2024 10:47:45,GPS
02-24-2024 10:47:45,"AT+SEND=0,3,GPS"
02-24-2024 10:47:45,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:46,Received: +OK
02-24-2024 10:47:46,GPS
02-24-2024 10:47:46,GPS
02-24-2024 10:47:46,"AT+SEND=0,3,GPS"
02-24-2024 10:47:46,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:46,Received: +OK
02-24-2024 10:47:46,GPS
02-24-2024 10:47:46,GPS
02-24-2024 10:47:46,"AT+SEND=0,3,GPS"
02-24-2024 10:47:46,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:47,Received: +OK
02-24-2024 10:47:47,GPS
02-24-2024 10:47:47,GPS
02-24-2024 10:47:47,"AT+SEND=0,3,GPS"
02-24-2024 10:47:47,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:47,Received: +OK
02-24-2024 10:47:47,GPS
02-24-2024 10:47:47,GPS
02-24-2024 10:47:47,"AT+SEND=0,3,GPS"
02-24-2024 10:47:47,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:48,Received: +OK
02-24-2024 10:47:48,GPS
02-24-2024 10:47:48,GPS
02-24-2024 10:47:48,"AT+SEND=0,3,GPS"
02-24-2024 10:47:48,"Sending: AT+SEND=0,3,GPS"
02-24-2024 10:47:48,Received: +OK
02-24-2024 10:47:48,GPS
02-24-2024 10:47:48,GPS
