12-31-2023 10:45:19,"<LORA>+RCV=7,7,Alt:0.0,-29,11\r</LORA>"
datetime,serial msg
12-31-2023 10:45:26,"<LORA>+RCV=7,31,GPS: A,2805.5252,N,08210.4223,W,-47,10\r</LORA>"
datetime,serial msg
12-31-2023 10:45:29,"<LORA>+RCV=7,31,GPS: A,2805.5255,N,08210.4231,W,-30,10\r</LORA>"
datetime,serial msg
12-31-2023 10:45:36,"<LORA>+RCV=7,31,GPS: A,2805.5251,N,08210.4229,W,-35,10\r</LORA>"
datetime,serial msg
12-31-2023 10:45:40,"<LORA>+RCV=7,31,GPS: A,3805.5249,N,08210.4233,W,-37,10\r</LORA>"
datetime,serial msg
12-31-2023 10:45:51,"<LORA>+RCV=7,8,GPS FAIL,-48,11\r</LORA>"
datetime,serial msg
12-31-2023 10:45:59,"<LORA>+RCV=7,8,GPS FAIL,-46,10\r</LORA>"
datetime,serial msg
12-31-2023 10:46:23,"<LORA>+RCV=7,7,Alt:0.0,-40,10\r</LORA>"
datetime,serial msg
12-31-2023 10:46:34,"<LORA>+RCV=7,7,Alt:0.0,-30,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-32,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCW=7,7,Alt:0.0,-30,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-37,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,8,GPS FAIL,,40,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-47,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-42,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-36,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,8,GPS FAIL,-33,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-33,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,8,GPS FAIL,-32,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-34,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-40,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,31,GPS: A,2805.527<,N,08210.4172,W,-36,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-39,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:04,"<LORA>+RCV=7,7,Alt:0.0,-30,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:12,"<LORA>+RCV=7,7,Alt:0.0,-29,10\r</LORA>"
datetime,serial msg
12-31-2023 10:49:23,"<LORA>+RCV=7,8,GPS FAIL,-26,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:32,"<LORA>+RCV=7,7,Alt:0.0,-30,11\r</LORA>"
datetime,serial msg
12-31-2023 10:49:43,"<LORA>+RCV=7,7,Alt:0.0,-34,10\r</LORA>"
datetime,serial msg
