12-21-2023 16:54:57,"<LORA>+RCV=7,31,GPS: A,3803.9722,N,08225.0238,W,-66,11\r</LORA>"
datetime,serial msg
12-21-2023 16:55:09,"<LORA>+RCV=7,8,GPS FAIL,-65,10\r</LORA>"
datetime,serial msg
12-21-2023 16:55:54,"<LORA>+RCV=7,31,GPS: A,2803.9681,N,08225.0233,W,-65,11\r</LORA>"
datetime,serial msg
12-21-2023 16:55:57,"<LORA>+RCV=7,31,GPS: A,2803.9670,N,08225.0240,W,-65,11\r</LORA>"
datetime,serial msg
12-21-2023 16:56:09,"<LORA>+RCV=7,8,GPS FAIL,-66,11\r</LORA>"
datetime,serial msg
12-21-2023 16:56:25,"<LORA>+RCV=7,8,GPS FAIL,-64,11\r</LORA>"
datetime,serial msg
12-21-2023 16:57:19,"<LORA>+RCV=7,8,GPS FAIL,-64,10\r</LORA>"
datetime,serial msg
12-21-2023 16:57:35,"<LORA>+RCV=7,8,GPS FAIL,,65,11\r</LORA>"
datetime,serial msg
12-21-2023 16:57:55,"<LORA>+RCV=7,31,GPS: A,2803.9674,N,08225.0300,W,-65,10\r</LORA>"
datetime,serial msg
12-21-2023 16:58:24,"<LORA>+RCV=7,8,GPS FAIL,-65,11\r</LORA>"
datetime,serial msg
12-23-2023 10:41:42,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-31,11\r</LORA>"
datetime,serial msg
12-23-2023 10:41:49,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-29,10\r</LORA>"
datetime,serial msg
12-23-2023 10:41:52,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-27,11\r</LORA>"
datetime,serial msg
12-23-2023 10:41:59,"<LORA>+RCV=7,31,GPS: V,.,,,0.00,0.00,231223,,,N,-24,11\r</LORA>"
datetime,serial msg
12-23-2023 10:42:02,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:42:05,"<LORA>+RCV=7,31,GPS; V,,,,,0.00,0.00,231223,,,N,-28,11\r</LORA>"
datetime,serial msg
12-23-2023 10:42:12,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,230223,,,N,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 10:42:35,"<LORA>+RCV=7,7,Alt:0.0,-27,10\r</LORA>"
datetime,serial msg
12-23-2023 10:42:47,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-30,11\r</LORA>"
datetime,serial msg
12-23-2023 10:42:54,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:01,"<LORA>+RCV=7,31,GPS: V,,,,,0.08,0.00,231223,,,N,-33,11\x0c</LORA>"
datetime,serial msg
12-23-2023 10:43:08,"<LORA>+RCV=7,31,GPS: V,,,,,0.05,120.90,231223,,,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:11,"<LORA>+RCW=7,31,GPS: W,,,,,0.29,120.90,231223,,,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:14,"<LORA>+RCV=7,30,GPS: V,,,,,0.17,120.90,231223,,,-32,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:21,"<LORA>+RCV=7,31,GPS: V,,,,,0.10,120.90,331223,,,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:28,"<LORA>+RCV=7,31,GPS: V,,,,,0.24,120.90,231221,,,-28,10\r</LORA>"
datetime,serial msg
12-23-2023 10:43:36,"<LORA>+RCV=7,7,@lt:0.0,-28,10\r</LORA>"
datetime,serial msg
12-23-2023 10:43:47,"<LORA>+RCW=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:54,"<LORA>+RCV=7,31,GPS; V,,,,,0.00,0.00,231223,,,N,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:43:57,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:44:13,"<LORA>+RCV=7,31,GPS: V,,,,,0/02,0.00,231223,,,N,-27,11\r</LORA>"
datetime,serial msg
12-23-2023 10:44:16,"<LORA>+RCV=7,31,GPS: V,,,,,0.03,0.00,231223,,,N,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 10:44:19,"<LORA>+RCV=7,31,GPS: V,,,,,0.02,0.00,231223,,,N,-28,11\r</LORA>"
datetime,serial msg
12-23-2023 10:44:52,"<LORA>+RCV=7,31,GPS: W,,,,,0.00,0.00,231223,,,N,-28,11\r</LORA>"
datetime,serial msg
12-23-2023 10:44:55,"<LORA>+RCV=7,30,GPS: V,,,,,0.00,0.00,231223,,,N,-27,11\r</LORA>"
datetime,serial msg
12-23-2023 10:44:58,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231323,,,N,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 10:45:01,"<LORA>+RCV=7,31,GPS: V,,,,,0.01,0.00,231223,,,N,-25,11\r</LORA>"
datetime,serial msg
12-23-2023 10:45:08,"<LORA>+RCV=7,31,GPS: V&,,,,0.03,0.00,231223,,,N,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 10:45:19,"<LORA>+RCV=7,8,GPS FAIL,-27,10\r</LORA>"
datetime,serial msg
12-23-2023 10:45:56,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,230223,,,N,-31,11\r</LORA>"
datetime,serial msg
12-23-2023 10:46:08,"<LORA>+RCV=7,8,GPS FAIL,-31,11\r</LORA>"
datetime,serial msg
12-23-2023 10:46:15,"<LORA>+RCV=7,31,GPS: V,,,,,0.02,0.00,231223,,,N,-30,11\r</LORA>"
datetime,serial msg
12-23-2023 10:46:18,"<LORA>+RCV=7,31,GPS: V,,,,,0.03,0.00,231223,,,N,-32,11\r</LORA>"
datetime,serial msg
12-23-2023 10:46:30,"<LORA>+SCV=7,8,GPS FAIL,-30,10\r\x0b</LORA>"
datetime,serial msg
12-23-2023 10:46:50,"<LORA>+RCV=7,7,Alt:0.0,-33,10\r</LORA>"
datetime,serial msg
12-23-2023 10:46:57,"<LORA>+RCV=7,30,GPS: V,,,,,0.00,0.00,231223,,,N,-31,11\r</LORA>"
datetime,serial msg
12-23-2023 10:47:00,"<LORA>+RCV=7,31,GPS: W,,,,,0.00,0.00,231223,,,N,-31,11\r</LORA>"
datetime,serial msg
12-23-2023 10:47:12,"<LORA>+RCV=7,8,GPS FAIL,-32,10\r</LORA>"
datetime,serial msg
12-23-2023 10:47:19,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-28,11\r</LORA>"
datetime,serial msg
12-23-2023 10:47:22,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-30,11\r</LORA>"
datetime,serial msg
12-23-2023 10:47:34,"<LORA>+RCV=7,8,GPS FAIL,-32,10\r</LORA>"
datetime,serial msg
12-23-2023 10:47:50,"<LORA>+RCV=7,8,GPS FAIL,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:48:01,"<LORA>+RCV=7,31,GPS: V,,,,,0/00,0.00,231223,,,N,-30&11\r</LORA>"
datetime,serial msg
12-23-2023 10:48:04,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231233,,,N,-29,11\r</LORA>"
datetime,serial msg
12-23-2023 10:48:20,"<LORA>+RCV=7,31,GPS: V,,,,,0.01,0.00,231223,,,N,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 10:48:23,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-27,11\r</LORA>"
datetime,serial msg
12-23-2023 10:48:30,"<LORA>+RCV=7,31,GPS: V,,,,,0.01,0.00,231223,,,N,-26,11\r</LORA>"
datetime,serial msg
12-23-2023 10:48:33,"<LORA>+RCW=7,31,GPS: W,,,,,0.00,0/00,231223,,,N,-28,11\r</LORA>"
datetime,serial msg
12-23-2023 11:04:29,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-81,10\r</LORA>"
datetime,serial msg
12-23-2023 11:04:32,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-84,11\r</LORA>"
datetime,serial msg
12-23-2023 11:04:35,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-81,11\r</LORA>"
datetime,serial msg
12-23-2023 11:04:46,"<LORA>+RCV=7,30,GPS: V,,,,,0.00,0.00,231223,,,N,-83,11\r</LORA>"
datetime,serial msg
12-23-2023 11:04:49,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-76,11\r</LORA>"
datetime,serial msg
12-23-2023 11:04:57,"<LORA>+RCV=7,30,GPS: V,,,,,0.00,0.00,231223,,,N,-85,10\r</LORA>"
datetime,serial msg
12-23-2023 11:05:04,"<LORA>+RCV=7,31,GPS: V,,,,,0/00,0.00,231223,,,N,-69,10\r</LORA>"
datetime,serial msg
12-23-2023 11:05:07,"<LORA>+RCV=7,31,GPS: V,,,,,0.00,0.00,231223,,,N,-71,11\r</LORA>"
datetime,serial msg
