datetime,serial msg
2024-03-16 16:20:25.007252,Sending: AT+ADDRESS=6
2024-03-16 16:20:25.240997,Received: +OK
2024-03-16 16:20:25.333793,Sending: AT+BAND=905000000
2024-03-16 16:20:25.487031,Received: +OK
2024-03-16 16:20:25.564893,Sending: AT+NETWORKID=5
2024-03-16 16:20:25.942949,Received: +OK
2024-03-16 16:20:50.035990,"Sending: AT+SEND=5,4,IR\x00\x9b"
2024-03-16 16:20:50.316205,Received: +OK
2024-03-16 16:20:50.579853,Checksum: 497 Calculated: 497
2024-03-16 16:20:50.859180,Latency: 106
2024-03-16 16:20:51.348855,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 8, Data Bytes: bytearray(b'IR\x8c\xaf\x1b\x00'), Checksum: 497, RSSI: 0, SNR: 65429"
2024-03-16 16:20:53.443314,Checksum: 755 Calculated: 755
2024-03-16 16:20:53.635890,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS>\x18\x9bA+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00)\xb6\x1b\x00'), Checksum: 755, RSSI: 0, SNR: 65432"
2024-03-16 16:20:54.793208,Checksum: 1174 Calculated: 1174
2024-03-16 16:20:55.605415,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xbc\xe2\x99A+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x81\xbb\x1b\x00'), Checksum: 1174, RSSI: 0, SNR: 65431"
2024-03-16 16:20:57.065139,Checksum: 1152 Calculated: 1152
2024-03-16 16:20:58.226295,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISZ\xd6\x99A+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xd4\xc0\x1b\x00'), Checksum: 1152, RSSI: 0, SNR: 65432"
2024-03-16 16:20:59.154449,Checksum: 1137 Calculated: 1137
2024-03-16 16:21:00.501728,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xf9\xc9\x99A.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00*\xc6\x1b\x00'), Checksum: 1137, RSSI: 0, SNR: 65430"
2024-03-16 16:21:00.503739,Checksum: 1141 Calculated: 1141
2024-03-16 16:21:01.022168,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\x93\xdd\x99A+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00~\xcb\x1b\x00'), Checksum: 1141, RSSI: 0, SNR: 65432"
2024-03-16 16:21:01.135945,"LORA: Valid data:False, Address Bytes: 5, Length Bytes: 0, Data Bytes: bytearray(b''), Checksum: 6144, RSSI: 0, SNR: 65432"
2024-03-16 16:21:02.241350,Checksum: 1126 Calculated: 1126
2024-03-16 16:21:02.383166,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xfe\xa9\x99A-\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00+\xd6\x1b\x00'), Checksum: 1126, RSSI: 0, SNR: 65436"
2024-03-16 16:21:04.139472,Checksum: 1013 Calculated: 1013
2024-03-16 16:21:04.732783,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xd0\x05\x9aA.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x85\xdb\x1b\x00'), Checksum: 1013, RSSI: 0, SNR: 65433"
2024-03-16 16:21:05.728713,Checksum: 1075 Calculated: 1075
2024-03-16 16:21:06.634024,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISaY\x9aA,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdb\xe0\x1b\x00'), Checksum: 1075, RSSI: 0, SNR: 65431"
2024-03-16 16:21:07.025902,Checksum: 1022 Calculated: 1022
2024-03-16 16:21:07.476916,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISR\xd5\x99A.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\xe6\x1b\x00'), Checksum: 1022, RSSI: 0, SNR: 65434"
2024-03-16 16:21:08.515800,Checksum: 1185 Calculated: 1185
2024-03-16 16:21:08.638911,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\x93\xdd\x99A-\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x88\xeb\x1b\x00'), Checksum: 1185, RSSI: 0, SNR: 65431"
2024-03-16 16:21:09.433234,Checksum: 1205 Calculated: 1205
2024-03-16 16:21:10.119054,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISo\xb8\x99A.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdf\xf0\x1b\x00'), Checksum: 1205, RSSI: 0, SNR: 65431"
2024-03-16 16:21:10.617053,Checksum: 997 Calculated: 997
2024-03-16 16:21:11.475355,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS}}\x9aA/\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x004\xf6\x1b\x00'), Checksum: 997, RSSI: 0, SNR: 65432"
2024-03-16 16:21:12.021514,Checksum: 1154 Calculated: 1154
2024-03-16 16:21:13.018330,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISk\xd8\x99A-\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x86\xfb\x1b\x00'), Checksum: 1154, RSSI: 0, SNR: 65432"
2024-03-16 16:21:14.127014,Checksum: 894 Calculated: 894
2024-03-16 16:21:14.377715,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\x16\xd2\x9aA,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xd7\x00\x1c\x00'), Checksum: 894, RSSI: 0, SNR: 65430"
2024-03-16 16:21:15.234614,Checksum: 584 Calculated: 584
2024-03-16 16:21:15.639503,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISA\x14\x9aA+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00/\x06\x1c\x00'), Checksum: 584, RSSI: 0, SNR: 65431"
2024-03-16 16:21:17.181717,Checksum: 1007 Calculated: 1007
2024-03-16 16:21:17.339334,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISe\xe0\x9bA+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xdb\x10\x1c\x00'), Checksum: 1007, RSSI: 0, SNR: 65444"
2024-03-16 16:21:18.536776,Checksum: 951 Calculated: 951
2024-03-16 16:21:18.630520,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xb1\xaf\xe9A,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x003\x16\x1c\x00'), Checksum: 951, RSSI: 0, SNR: 65447"
2024-03-16 16:21:19.709607,Checksum: 968 Calculated: 968
2024-03-16 16:21:20.443005,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\x92\xbc\xaeB-\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8a\x1b\x1c\x00'), Checksum: 968, RSSI: 0, SNR: 65441"
2024-03-16 16:21:20.475326,Checksum: 906 Calculated: 906
2024-03-16 16:21:20.896048,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xe33IC/\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe1 \x1c\x00'), Checksum: 906, RSSI: 0, SNR: 65436"
2024-03-16 16:21:23.001954,Checksum: 892 Calculated: 892
2024-03-16 16:21:23.408340,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS=\xfd\xbcC/\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x006&\x1c\x00'), Checksum: 892, RSSI: 0, SNR: 65432"
2024-03-16 16:21:24.301166,Checksum: 885 Calculated: 885
2024-03-16 16:21:24.424803,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\x9d\xec\x0bD-\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x8d+\x1c\x00'), Checksum: 885, RSSI: 0, SNR: 65433"
2024-03-16 16:21:25.520597,Checksum: 856 Calculated: 856
2024-03-16 16:21:26.481124,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISX\x950D+\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe40\x1c\x00'), Checksum: 856, RSSI: 0, SNR: 65433"
2024-03-16 16:21:26.997744,Checksum: 857 Calculated: 857
2024-03-16 16:21:27.899064,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xd2\xa0OD,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00:6\x1c\x00'), Checksum: 857, RSSI: 0, SNR: 65432"
2024-03-16 16:21:29.476689,Checksum: 885 Calculated: 885
2024-03-16 16:21:30.571923,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IST\xc3iD,\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x91;\x1c\x00'), Checksum: 885, RSSI: 0, SNR: 65431"
2024-03-16 16:21:31.709081,Checksum: 898 Calculated: 898
