datetime,serial msg
01-20-2024 15:28:38,Sending: AT+ADDRESS=1
01-20-2024 15:28:38,Received: +OK
01-20-2024 15:28:38,Sending: AT+BAND=905000000
01-20-2024 15:28:39,Received: +k\xaaH\xf8
01-20-2024 15:28:39,Sending: AT+NETWORKID=5
01-20-2024 15:28:39,Received: +OK
01-20-2024 15:37:43,PING
01-20-2024 15:37:43,PING
01-20-2024 15:37:43,"AT+SEND=7,4,PING"
01-20-2024 15:37:43,"Sending: AT+SEND=7,4,PING"
01-20-2024 15:37:44,Received: +OK
01-20-2024 15:37:58,PING
01-20-2024 15:37:58,PING
01-20-2024 15:37:58,"AT+SEND=7,4,PING"
01-20-2024 15:37:58,"Sending: AT+SEND=7,4,PING"
01-20-2024 15:37:58,Received: +OK
01-20-2024 15:38:19,PING
01-20-2024 15:38:19,PING
01-20-2024 15:38:19,"AT+SEND=7,4,PING"
01-20-2024 15:38:19,"Sending: AT+SEND=7,4,PING"
01-20-2024 15:38:19,Received: +OK
01-20-2024 15:38:31,PING
01-20-2024 15:38:31,PING
01-20-2024 15:38:31,"AT+SEND=5,4,PING"
01-20-2024 15:38:31,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:38:32,Received: +OK
01-20-2024 15:38:38,PING
01-20-2024 15:38:38,PING
01-20-2024 15:38:38,"AT+SEND=5,4,PING"
01-20-2024 15:38:38,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:38:39,Received: +OK
01-20-2024 15:38:44,PING
01-20-2024 15:38:44,PING
01-20-2024 15:38:44,"AT+SEND=5,4,PING"
01-20-2024 15:38:44,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:38:44,Received: +OK
01-20-2024 15:38:56,PING
01-20-2024 15:38:56,PING
01-20-2024 15:38:56,"AT+SEND=5,4,PING"
01-20-2024 15:38:56,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:38:56,Received: +OK
01-20-2024 15:38:59,PING
01-20-2024 15:38:59,PING
01-20-2024 15:38:59,"AT+SEND=5,4,PING"
01-20-2024 15:38:59,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:38:59,Received: +OK
01-20-2024 15:39:01,PING
01-20-2024 15:39:01,PING
01-20-2024 15:39:01,"AT+SEND=5,4,PING"
01-20-2024 15:39:01,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:01,Received: +OK
01-20-2024 15:39:04,PING
01-20-2024 15:39:04,PING
01-20-2024 15:39:05,"AT+SEND=5,4,PING"
01-20-2024 15:39:05,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:05,Received: +OK
01-20-2024 15:39:09,PING
01-20-2024 15:39:09,PING
01-20-2024 15:39:09,"AT+SEND=5,4,PING"
01-20-2024 15:39:09,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:09,Received: +OK
01-20-2024 15:39:12,PING
01-20-2024 15:39:12,PING
01-20-2024 15:39:12,"AT+SEND=5,4,PING"
01-20-2024 15:39:12,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:12,Received: +OK
01-20-2024 15:39:17,PING
01-20-2024 15:39:17,PING
01-20-2024 15:39:17,"AT+SEND=5,4,PING"
01-20-2024 15:39:17,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:17,Received: +OK
01-20-2024 15:39:20,PING
01-20-2024 15:39:20,PING
01-20-2024 15:39:20,"AT+SEND=5,4,PING"
01-20-2024 15:39:20,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:20,Received: +OK
01-20-2024 15:39:23,PING
01-20-2024 15:39:23,PING
01-20-2024 15:39:23,"AT+SEND=5,4,PING"
01-20-2024 15:39:23,"Sending: AT+SEND=5,4,PING"
01-20-2024 15:39:23,Received: +OK
01-20-2024 15:39:37,PING
01-20-2024 15:39:37,PING
01-20-2024 15:39:37,"AT+SEND=7,4,PING"
01-20-2024 15:39:37,"Sending: AT+SEND=7,4,PING"
01-20-2024 15:39:37,Received: +OK
01-20-2024 15:39:39,PING
01-20-2024 15:39:39,PING
01-20-2024 15:39:39,"AT+SEND=7,4,PING"
01-20-2024 15:39:39,"Sending: AT+SEND=7,4,PING"
01-20-2024 15:39:40,Received: +OK
01-20-2024 15:39:42,PING
01-20-2024 15:39:42,PING
01-20-2024 15:39:42,"AT+SEND=7,4,PING"
01-20-2024 15:39:42,"Sending: AT+SEND=7,4,PING"
01-20-2024 15:39:42,Received: +OK
01-20-2024 15:39:49,PING
