datetime,serial msg
2024-03-16 15:56:34.212698,Sending: AT+ADDRESS=6
2024-03-16 15:56:34.468293,Received: +OK
2024-03-16 15:56:34.811278,Sending: AT+BAND=905000000
2024-03-16 15:56:35.038220,Received: +OK
2024-03-16 15:56:35.547170,Sending: AT+NETWORKID=5
2024-03-16 15:56:35.848184,Received: +OK
2024-03-16 15:56:40.210648,"Sending: AT+SEND=5,4,IR\x00\x9b"
2024-03-16 15:56:40.274061,Received: +OK
2024-03-16 15:56:40.540451,Checksum: 376 Calculated: 376
2024-03-16 15:56:40.742629,Latency: 105
2024-03-16 15:56:40.960097,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 8, Data Bytes: bytearray(b'IRI\x8f\x05\x00'), Checksum: 376, RSSI: 0, SNR: 65431"
2024-03-16 15:56:41.787839,Checksum: 979 Calculated: 979
2024-03-16 15:56:42.394355,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xa7\x85\x88A/\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00~\x90\x05\x00'), Checksum: 979, RSSI: 0, SNR: 65433"
2024-03-16 15:56:43.492028,Checksum: 1154 Calculated: 1154
2024-03-16 15:56:43.824116,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'ISw\xfc\x87A,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe5\x95\x05\x00'), Checksum: 1154, RSSI: 0, SNR: 65436"
2024-03-16 15:56:44.830292,Checksum: 938 Calculated: 938
2024-03-16 15:56:45.321072,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xa2\x9f\x87A.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x007\x9b\x05\x00'), Checksum: 938, RSSI: 0, SNR: 65432"
2024-03-16 15:56:46.058917,Checksum: 1059 Calculated: 1059
2024-03-16 15:56:46.388994,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xedm\x88A/\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x90\xa0\x05\x00'), Checksum: 1059, RSSI: 0, SNR: 65432"
2024-03-16 15:56:47.691960,Checksum: 1029 Calculated: 1029
2024-03-16 15:56:47.849959,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS!\xbc\x89A1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe7\xa5\x05\x00'), Checksum: 1029, RSSI: 0, SNR: 65432"
2024-03-16 15:56:48.587440,Checksum: 1016 Calculated: 1016
2024-03-16 15:56:48.917894,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xaa\xcd\x89A.\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00=\xab\x05\x00'), Checksum: 1016, RSSI: 0, SNR: 65434"
2024-03-16 15:56:50.252220,Checksum: 1069 Calculated: 1069
2024-03-16 15:56:50.814050,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\x81\xce\x8aA/\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x93\xb0\x05\x00'), Checksum: 1069, RSSI: 0, SNR: 65438"
2024-03-16 15:56:51.551277,Checksum: 988 Calculated: 988
2024-03-16 15:56:51.882136,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS$\x81\x8aA-\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xe9\xb5\x05\x00'), Checksum: 988, RSSI: 0, SNR: 65432"
2024-03-16 15:56:52.989996,Checksum: 946 Calculated: 946
2024-03-16 15:56:53.321861,"LORA: Valid data:True, Address Bytes: 5, Length Bytes: 24, Data Bytes: bytearray(b'IS\xe87\x8aA,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00@\xbb\x05\x00'), Checksum: 946, RSSI: 0, SNR: 65434"
