datetime,serial msg
2024-03-16 16:16:06.367183,Sending: AT+ADDRESS=1
2024-03-16 16:16:06.742422,Received: +OK
2024-03-16 16:16:06.836593,Sending: AT+BAND=433000000
2024-03-16 16:16:07.144800,Received: +j\xabH\xf8
2024-03-16 16:16:07.633309,Sending: AT+NETWORKID=5
2024-03-16 16:16:07.976192,Received: +OK
2024-03-16 16:16:13.542956,GPS:SINGLE
2024-03-16 16:16:13.774714,GPS:SINGLE
2024-03-16 16:16:13.931263,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:16:13.947263,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:16:14.291385,Received: +OK
2024-03-16 16:16:45.617202,GPS:SINGLE
2024-03-16 16:16:45.695281,GPS:SINGLE
2024-03-16 16:16:45.756119,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:16:45.831851,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:16:46.067937,Received: +OK
2024-03-16 16:16:48.082161,GPS:SINGLE
2024-03-16 16:16:48.302747,GPS:SINGLE
2024-03-16 16:16:49.149606,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:16:49.963919,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:16:50.308554,Received: +OK
