datetime,serial msg
2024-03-16 15:57:00.940571,Sending: AT+ADDRESS=1
2024-03-16 15:57:01.572859,Received: +OK
2024-03-16 15:57:02.252013,Sending: AT+BAND=433000000
2024-03-16 15:57:02.941360,Received: +j\xabH\xf8
2024-03-16 15:57:03.701502,Sending: AT+NETWORKID=5
2024-03-16 15:57:04.191333,Received: +OK
2024-03-16 16:03:46.741793,GPS:SINGLE
2024-03-16 16:03:46.818614,GPS:SINGLE
2024-03-16 16:03:46.836212,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:03:46.852270,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:03:47.005253,Received: +OK
2024-03-16 16:04:09.613323,PING
2024-03-16 16:04:09.720838,PING
2024-03-16 16:04:09.768857,"AT+SEND=7,4,PING"
2024-03-16 16:04:09.784257,"Sending: AT+SEND=7,4,PING"
2024-03-16 16:04:09.785259,Received: +OK
2024-03-16 16:04:23.268241,PING
2024-03-16 16:04:23.485737,PING
2024-03-16 16:04:23.690777,"AT+SEND=7,4,PING"
2024-03-16 16:04:23.883952,"Sending: AT+SEND=7,4,PING"
2024-03-16 16:04:23.948934,Received: +OK
2024-03-16 16:04:52.409989,PING
2024-03-16 16:04:52.534629,PING
2024-03-16 16:04:52.737558,"AT+SEND=7,4,PING"
2024-03-16 16:04:52.739671,"Sending: AT+SEND=7,4,PING"
2024-03-16 16:04:52.741172,Received: +OK
2024-03-16 16:04:59.180312,PING
2024-03-16 16:04:59.225648,PING
2024-03-16 16:04:59.244169,"AT+SEND=7,4,PING"
2024-03-16 16:04:59.258915,"Sending: AT+SEND=7,4,PING"
2024-03-16 16:04:59.273210,Received: +OK
2024-03-16 16:05:04.417626,PING
2024-03-16 16:05:04.465822,PING
2024-03-16 16:05:04.683819,"AT+SEND=7,4,PING"
2024-03-16 16:05:04.716249,"Sending: AT+SEND=7,4,PING"
2024-03-16 16:05:04.717771,Received: +OK
2024-03-16 16:08:27.935475,GPS:SINGLE
2024-03-16 16:08:28.721593,GPS:SINGLE
2024-03-16 16:08:29.569155,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:08:30.731715,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:08:31.187915,Received: +OK
